structgrade,structsize,structtype,structid,structpartsto,chstructgrpkey,chstructkey
Moderate,Medium,Granular,NA,NA,33800024,41236937
Moderate,Medium,Prismatic,1,2,33800025,41236938
Moderate,Medium,Subangular blocky,2,NA,33800025,41236939
Structureless,,Massive,NA,NA,33800026,41236940
Moderate,Coarse,Prismatic,1,2,33800027,41236941
Weak,Coarse,Subangular blocky,2,NA,33800027,41236942
Structureless,,Massive,NA,NA,33800028,41236943
Weak,Medium,Prismatic,1,2,33800029,41236944
Moderate,Medium,Subangular blocky,2,NA,33800029,41236945
Moderate,Medium,Granular,NA,NA,33800030,41236946
Weak,Coarse,Subangular blocky,2,NA,33800031,41236947
Weak,Medium,Prismatic,1,2,33800031,41236948
Weak,Coarse,Subangular blocky,2,NA,33800032,41236949
Weak,Coarse,Prismatic,1,2,33800032,41236950
Structureless,,Massive,NA,NA,33800033,41236951
Weak,Fine,Granular,NA,NA,33800034,41236952
Moderate,Medium,Prismatic,1,2,33800035,41236953
Moderate,Coarse,Angular blocky,2,NA,33800035,41236954
Structureless,,Massive,NA,NA,33800081,41237018
Weak,Medium,Subangular blocky,NA,NA,33800082,41237019
Moderate,Medium,Granular,NA,NA,33800083,41237020
Weak,Medium,Prismatic,1,2,33800084,41237021
Moderate,Medium,Subangular blocky,2,NA,33800084,41237022
Structureless,,Massive,NA,NA,33800085,41237023
Moderate,Coarse,Prismatic,NA,NA,33800086,41237024
Moderate,Coarse,Prismatic,1,2,33800087,41237025
Weak,Coarse,Subangular blocky,2,NA,33800087,41237026
Moderate,Medium,Prismatic,1,2,33800088,41237027
Moderate,Medium,Subangular blocky,2,NA,33800088,41237028
Moderate,Medium,Granular,NA,NA,33800089,41237029
Moderate,Medium,Granular,NA,NA,33800090,41237030
Moderate,Coarse,Angular blocky,2,NA,33800091,41237031
Weak,Medium,Prismatic,1,2,33800091,41237032
Weak,Coarse,Prismatic,1,2,33800092,41237033
Moderate,Coarse,Angular blocky,2,NA,33800092,41237034
Structureless,,Massive,NA,NA,33800093,41237035
