structgrpname,rvindicator,chkey,chstructgrpkey
moderate medium granular structure,Yes,60807109,33800024
moderate medium prismatic structure parts to moderate medium subangular blocky structure,Yes,60807110,33800025
structureless massive structure,Yes,60807111,33800026
moderate coarse prismatic structure parts to weak coarse subangular blocky structure,Yes,60807112,33800027
structureless massive structure,Yes,60807113,33800028
weak medium prismatic structure parts to moderate medium subangular blocky structure,Yes,60807114,33800029
moderate medium granular structure,Yes,60807115,33800030
weak medium prismatic structure parts to weak coarse subangular blocky structure,Yes,60807116,33800031
weak coarse prismatic structure parts to weak coarse subangular blocky structure,Yes,60807117,33800032
structureless massive structure,Yes,60807118,33800033
weak fine granular structure,Yes,60807119,33800034
moderate medium prismatic structure parts to moderate coarse angular blocky structure,Yes,60807120,33800035
structureless massive structure,Yes,60807166,33800081
weak medium subangular blocky structure,Yes,60807167,33800082
moderate medium granular structure,Yes,60807168,33800083
weak medium prismatic structure parts to moderate medium subangular blocky structure,Yes,60807169,33800084
structureless massive structure,Yes,60807170,33800085
moderate coarse prismatic structure,Yes,60807171,33800086
moderate coarse prismatic structure parts to weak coarse subangular blocky structure,Yes,60807172,33800087
moderate medium prismatic structure parts to moderate medium subangular blocky structure,Yes,60807173,33800088
moderate medium granular structure,Yes,60807174,33800089
moderate medium granular structure,Yes,60807175,33800090
weak medium prismatic structure parts to moderate coarse angular blocky structure,Yes,60807176,33800091
weak coarse prismatic structure parts to moderate coarse angular blocky structure,Yes,60807177,33800092
structureless massive structure,Yes,60807178,33800093
