texcl,lieutex,chtgkey,chtkey
Silty clay loam,,122192953,124297539
Clay loam,,122192954,124297540
Clay,,122192955,124297541
Silty clay loam,,122192956,124297542
Clay loam,,122192957,124297543
Silty clay loam,,122192958,124297544
Silty clay,,122192959,124297545
Clay,,122192960,124297546
Silt loam,,122192961,124297547
Clay loam,,122193085,124297674
Silty clay loam,,122193086,124297675
Clay,,122193087,124297676
Silty clay loam,,122193088,124297677
Silty clay,,122193089,124297678
Clay,,122193090,124297679
Silty clay loam,,122193091,124297680
Clay,,122193092,124297681
Silty clay,,122193093,124297682
Silty clay loam,,122193094,124297683
Silty clay loam,,122192947,124297533
Clay loam,,122192951,124297537
Silty clay loam,,122192952,124297538
Clay loam,,122192962,124297548
Silty clay,,122192963,124297549
Silty clay loam,,122192964,124297550
Clay loam,,122192968,124297554
Silty clay loam,,122192969,124297555
Clay,,122192971,124297557
Clay loam,,122192972,124297558
Silty clay loam,,122192973,124297559
Silty clay loam,,122193074,124297663
Clay loam,,122193075,124297664
Silt loam,,122193079,124297668
Clay loam,,122193083,124297672
Silty clay loam,,122193084,124297673
Silty clay,,122193095,124297684
Silty clay loam,,122193096,124297685
Silty clay loam,,122193099,124297688
Silty clay,,122193100,124297689
Silty clay loam,,122192948,124297534
Clay,,122192949,124297535
Silty clay,,122192950,124297536
Clay loam,,122192965,124297551
Silty clay loam,,122192966,124297552
Silty clay,,122192967,124297553
Silt loam,,122192970,124297556
Clay loam,,122193076,124297665
Silty clay,,122193077,124297666
Silty clay loam,,122193078,124297667
Silty clay,,122193080,124297669
Clay,,122193081,124297670
Silty clay loam,,122193082,124297671
Silty clay,,122193097,124297686
Silty clay loam,,122193098,124297687
Silty clay loam,,122193101,124297690
Silty clay,,122193102,124297691
