texture,stratextsflag,rvindicator,texdesc,chkey,chtgkey
SICL,No ,Yes,Silty clay loam,60807109,122192947
SICL,No ,No ,Silty clay loam,60807110,122192948
C,No ,No ,Clay,60807110,122192949
SIC,No ,Yes,Silty clay,60807110,122192950
CL,No ,Yes,Clay loam,60807111,122192951
SICL,No ,No ,Silty clay loam,60807111,122192952
SICL,No ,No ,Silty clay loam,60807112,122192953
CL,No ,No ,Clay loam,60807112,122192954
C,No ,Yes,Clay,60807112,122192955
SICL,No ,No ,Silty clay loam,60807113,122192956
CL,No ,Yes,Clay loam,60807113,122192957
SICL,No ,No ,Silty clay loam,60807114,122192958
SIC,No ,Yes,Silty clay,60807114,122192959
C,No ,No ,Clay,60807114,122192960
SIL,No ,Yes,Silt loam,60807115,122192961
CL,No ,Yes,Clay loam,60807116,122192962
SIC,No ,No ,Silty clay,60807116,122192963
SICL,No ,No ,Silty clay loam,60807116,122192964
CL,No ,Yes,Clay loam,60807117,122192965
SICL,No ,No ,Silty clay loam,60807117,122192966
SIC,No ,No ,Silty clay,60807117,122192967
CL,No ,Yes,Clay loam,60807118,122192968
SICL,No ,No ,Silty clay loam,60807118,122192969
SIL,No ,Yes,Silt loam,60807119,122192970
C,No ,Yes,Clay,60807120,122192971
CL,No ,No ,Clay loam,60807120,122192972
SICL,No ,No ,Silty clay loam,60807120,122192973
SICL,No ,No ,Silty clay loam,60807166,122193074
CL,No ,Yes,Clay loam,60807166,122193075
CL,No ,Yes,Clay loam,60807167,122193076
SIC,No ,No ,Silty clay,60807167,122193077
SICL,No ,No ,Silty clay loam,60807167,122193078
SIL,No ,Yes,Silt loam,60807168,122193079
SIC,No ,Yes,Silty clay,60807169,122193080
C,No ,No ,Clay,60807169,122193081
SICL,No ,No ,Silty clay loam,60807169,122193082
CL,No ,Yes,Clay loam,60807170,122193083
SICL,No ,No ,Silty clay loam,60807170,122193084
CL,No ,Yes,Clay loam,60807171,122193085
SICL,No ,No ,Silty clay loam,60807171,122193086
C,No ,No ,Clay,60807171,122193087
SICL,No ,No ,Silty clay loam,60807172,122193088
SIC,No ,Yes,Silty clay,60807172,122193089
C,No ,No ,Clay,60807172,122193090
SICL,No ,No ,Silty clay loam,60807173,122193091
C,No ,No ,Clay,60807173,122193092
SIC,No ,Yes,Silty clay,60807173,122193093
SICL,No ,Yes,Silty clay loam,60807174,122193094
SIC,No ,Yes,Silty clay,60807175,122193095
SICL,No ,No ,Silty clay loam,60807175,122193096
SIC,No ,Yes,Silty clay,60807176,122193097
SICL,No ,No ,Silty clay loam,60807176,122193098
SICL,No ,No ,Silty clay loam,60807177,122193099
SIC,No ,Yes,Silty clay,60807177,122193100
SICL,No ,No ,Silty clay loam,60807178,122193101
SIC,No ,Yes,Silty clay,60807178,122193102
