shapeacross,shapedown,cogeomdkey,cosurfmorsskey
Concave,Linear,31877677,18635727
Concave,Linear,31877678,18635728
Linear,Linear,31877680,18635729
Linear,Linear,31877681,18635730
Linear,Convex,31877683,18635731
Linear,Convex,31877684,18635732
Linear,Linear,31877719,18635758
Linear,Linear,31877720,18635759
Linear,Linear,31877722,18635760
Concave,Concave,31877724,18635761
Concave,Concave,31877725,18635762
Concave,Linear,31877726,18635763
Concave,Concave,31877727,18635764
Concave,Concave,31877728,18635765
