aashtocl,rvindicator,chkey,chaashtokey
A-7,No ,60807109,99374476
A-6,Yes,60807109,99374477
A-7-6,Yes,60807110,99374478
A-6,No ,60807110,99374479
A-6,Yes,60807111,99374480
A-7,No ,60807111,99374481
A-7-6,Yes,60807112,99374482
A-6,No ,60807112,99374483
A-6,Yes,60807113,99374484
A-7,No ,60807113,99374485
A-6,No ,60807114,99374486
A-7-6,Yes,60807114,99374487
A-4,Yes,60807115,99374488
A-6,No ,60807115,99374489
A-7,No ,60807116,99374490
A-6,Yes,60807116,99374491
A-6,Yes,60807117,99374492
A-7,No ,60807117,99374493
A-7,No ,60807118,99374494
A-6,Yes,60807118,99374495
A-6,Yes,60807119,99374496
A-4,No ,60807119,99374497
A-6,No ,60807120,99374498
A-7-6,Yes,60807120,99374499
A-6,Yes,60807166,99374593
A-7,No ,60807166,99374594
A-7,No ,60807167,99374595
A-6,Yes,60807167,99374596
A-4,Yes,60807168,99374597
A-6,No ,60807168,99374598
A-6,No ,60807169,99374599
A-7-6,Yes,60807169,99374600
A-6,Yes,60807170,99374601
A-7,No ,60807170,99374602
A-6,Yes,60807171,99374603
A-7,No ,60807171,99374604
A-7-6,Yes,60807172,99374605
A-6,No ,60807172,99374606
A-7-6,Yes,60807173,99374607
A-6,No ,60807173,99374608
A-7,No ,60807174,99374609
A-6,Yes,60807174,99374610
A-7-6,Yes,60807175,99374611
A-7-6,Yes,60807176,99374612
A-7-6,Yes,60807177,99374613
A-6,No ,60807178,99374614
A-7-6,Yes,60807178,99374615
