rupresblkmst,rupresblkdry,rupresblkcem,rupresplate,mannerfailure,stickiness,plasticity,rvindicator,chkey,chconsistkey
Friable,NA,NA,NA,Nonfluid,Slightly sticky,Slightly plastic,Yes,60807109,6713421
Firm,NA,NA,NA,Deformable,Moderately sticky,Moderately plastic,Yes,60807110,6713422
Very firm,NA,NA,NA,Semideformable,Moderately sticky,Moderately plastic,Yes,60807111,6713423
Firm,NA,NA,NA,Deformable,Moderately sticky,Moderately plastic,Yes,60807112,6713424
Very firm,NA,NA,NA,Semideformable,Moderately sticky,Moderately plastic,Yes,60807113,6713425
Firm,NA,NA,NA,Deformable,Moderately sticky,Moderately plastic,Yes,60807114,6713426
Friable,NA,NA,NA,Nonfluid,Slightly sticky,Slightly plastic,Yes,60807115,6713427
Firm,NA,NA,NA,Semideformable,Moderately sticky,Moderately plastic,Yes,60807116,6713428
Firm,NA,NA,NA,Semideformable,Moderately sticky,Moderately plastic,Yes,60807117,6713429
Very firm,NA,NA,NA,Semideformable,Moderately sticky,Moderately plastic,Yes,60807118,6713430
Friable,NA,NA,NA,Nonfluid,Slightly sticky,Slightly plastic,Yes,60807119,6713431
Firm,NA,NA,NA,Deformable,Moderately sticky,Moderately plastic,Yes,60807120,6713432
Very firm,NA,NA,NA,Semideformable,Moderately sticky,Moderately plastic,Yes,60807166,6713469
Firm,NA,NA,NA,Semideformable,Moderately sticky,Moderately plastic,Yes,60807167,6713470
Friable,NA,NA,NA,Nonfluid,Slightly sticky,Slightly plastic,Yes,60807168,6713471
Firm,NA,NA,NA,Deformable,Moderately sticky,Moderately plastic,Yes,60807169,6713472
Very firm,NA,NA,NA,Semideformable,Moderately sticky,Moderately plastic,Yes,60807170,6713473
Very firm,NA,NA,NA,Semideformable,Moderately sticky,Moderately plastic,Yes,60807171,6713474
Firm,NA,NA,NA,Deformable,Moderately sticky,Moderately plastic,Yes,60807172,6713475
Firm,NA,NA,NA,Deformable,Moderately sticky,Moderately plastic,Yes,60807173,6713476
Friable,NA,NA,NA,Nonfluid,Slightly sticky,Slightly plastic,Yes,60807174,6713477
Friable,NA,NA,NA,,,,Yes,60807175,6713478
Firm,NA,NA,NA,,,,Yes,60807176,6713479
Firm,NA,NA,NA,,,,Yes,60807177,6713480
Firm,NA,NA,NA,,,,Yes,60807178,6713481
