hzname,desgndisc,desgnmaster,desgnmasterprime,desgnvert,hzdept.l,hzdept.r,hzdept.h,hzdepb.l,hzdepb.r,hzdepb.h,hzthk.l,hzthk.r,hzthk.h,fraggt10.l,fraggt10.r,fraggt10.h,frag3to10.l,frag3to10.r,frag3to10.h,sieveno4.l,sieveno4.r,sieveno4.h,sieveno10.l,sieveno10.r,sieveno10.h,sieveno40.l,sieveno40.r,sieveno40.h,sieveno200.l,sieveno200.r,sieveno200.h,sandtotal.l,sandtotal.r,sandtotal.h,sandvc.l,sandvc.r,sandvc.h,sandco.l,sandco.r,sandco.h,sandmed.l,sandmed.r,sandmed.h,sandfine.l,sandfine.r,sandfine.h,sandvf.l,sandvf.r,sandvf.h,silttotal.l,silttotal.r,silttotal.h,siltco.l,siltco.r,siltco.h,siltfine.l,siltfine.r,siltfine.h,claytotal.l,claytotal.r,claytotal.h,claysizedcarb.l,claysizedcarb.r,claysizedcarb.h,om.l,om.r,om.h,dbtenthbar.l,dbtenthbar.r,dbtenthbar.h,dbthirdbar.l,dbthirdbar.r,dbthirdbar.h,dbfifteenbar.l,dbfifteenbar.r,dbfifteenbar.h,dbovendry.l,dbovendry.r,dbovendry.h,partdensity,ksat.l,ksat.r,ksat.h,awc.l,awc.r,awc.h,wtenthbar.l,wtenthbar.r,wtenthbar.h,wthirdbar.l,wthirdbar.r,wthirdbar.h,wfifteenbar.l,wfifteenbar.r,wfifteenbar.h,wsatiated.l,wsatiated.r,wsatiated.h,lep.l,lep.r,lep.h,ll.l,ll.r,ll.h,pi.l,pi.r,pi.h,aashind.l,aashind.r,aashind.h,kwfact,kffact,caco3.l,caco3.r,caco3.h,gypsum.l,gypsum.r,gypsum.h,sar.l,sar.r,sar.h,ec.l,ec.r,ec.h,cec7.l,cec7.r,cec7.h,ecec.l,ecec.r,ecec.h,sumbases.l,sumbases.r,sumbases.h,ph1to1h2o.l,ph1to1h2o.r,ph1to1h2o.h,ph01mcacl2.l,ph01mcacl2.r,ph01mcacl2.h,freeiron.l,freeiron.r,freeiron.h,feoxalate.l,feoxalate.r,feoxalate.h,extracid.l,extracid.r,extracid.h,extral.l,extral.r,extral.h,aloxalate.l,aloxalate.r,aloxalate.h,pbray1.l,pbray1.r,pbray1.h,poxalate.l,poxalate.r,poxalate.h,ph2osoluble.l,ph2osoluble.r,ph2osoluble.h,ptotal.l,ptotal.r,ptotal.h,excavdifcl,excavdifms,cokey,chkey
Ap,NA,A,NA,NA,0,0,0,25,28,41,25,28,41,0,0,0,0,0,0,100,100,100,100,100,100,95,97.5,100,85,92.5,100,2,7,10,0,0,2,0,0,2,0,1,2,0,1,5,2,5,8,42,49,58,10,15,22,25,34,45,38,44,48,0,0,0,2,5,6,NA,NA,NA,1.4,1.5,1.6,NA,NA,NA,1.76,1.86,1.94,NA,1.41,2.82,4.23,0.18,0.21,0.24,NA,NA,NA,31.5,35,36.5,23.5,30.5,33.8,38,41,45,6,7.5,9,45,52.5,60,25,30,35,21,30,40,0.24,0.24,0,0,5,0,0,0,0,0,0,0,0,2,24,33,42,NA,NA,NA,15,27,36,6.1,7,7.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9,6.2,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20682961,60807175
Bg1,NA,B,NA,1,25,28,41,61,91,106,30,63,71,0,0,0,0,0,0,100,100,100,100,100,100,95,97.5,100,90,95,100,0,5,10,0,0,2,0,0,2,0,0,2,0,2,5,0,3,10,40,50,60,10,16,22,25,34,45,35,45,55,0,0,0,0.75,1.25,2,NA,NA,NA,1.45,1.55,1.65,NA,NA,NA,1.83,1.93,2,NA,0.42,0.92,1.41,0.12,0.15,0.18,NA,NA,NA,29.7,33.1,36.1,20.4,26.5,32.9,36,39,43,6,7.5,9,50,57.5,65,20,30,40,21,33,46,0.32,0.32,0,0,10,0,0,0,0,0,0,0,0,2,18,27,36,NA,NA,NA,15,24,32,6.1,7,7.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,4.2,7.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20682961,60807176
Bg2,NA,B,NA,2,61,91,106,112,142,163,30,51,91,0,0,0,0,0,0,100,100,100,100,100,100,95,97.5,100,85,92.5,100,0,7,10,0,0,2,0,0,2,0,1,2,0,2,5,0,4,10,40,50,60,10,14,22,25,36,45,35,43,50,0,0,2,0.5,1,1.25,NA,NA,NA,1.4,1.5,1.6,NA,NA,NA,1.76,1.86,1.94,NA,0.42,0.92,1.41,0.12,0.15,0.18,NA,NA,NA,29.4,32.2,34.3,19.9,24.9,29,38,41,45,6,7.5,9,45,55,65,20,30,40,18,31,46,0.32,0.32,0,5,30,0,0,0,0,0,0,0,0,2,18,27,36,NA,NA,NA,12,21,30,6.1,7.6,7.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,2.5,7.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20682961,60807177
C,NA,C,NA,NA,112,142,163,200,200,200,37,58,88,0,0,0,0,0,0,100,100,100,100,100,100,95,97.5,100,80,90,100,0,3,10,0,0,2,0,0,2,0,0,2,0,1,2,0,2,10,40,53,65,10,13,26,25,40,50,35,44,50,0,3,6,0,0.5,1,NA,NA,NA,1.5,1.6,1.7,NA,NA,NA,1.73,1.83,1.9,NA,0.42,0.92,1.41,0.12,0.15,0.18,NA,NA,NA,27.5,30.5,32.5,16.8,21.8,25.4,34,38,41,3,4.5,6,40,47.5,55,20,25,30,15,24,34,0.32,0.32,20,30,40,0,0,0,0,0,0,0,0,2,15,24,33,NA,NA,NA,12,21,27,7.4,7.9,8.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1.1,3.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20682961,60807178
Cg,NA,C,NA,NA,132,145,165,200,200,200,35,55,68,0,2,3,0,2,7,95,98,100,80,90,100,75,88,100,65,75,85,15,23,30,0,2,3,0,2,5,2,5,8,3,8,12,3,6,10,32,44,55,7,13,21,25,31,40,27,33,40,0,3,6,0,0.5,1,NA,NA,NA,1.5,1.65,1.75,NA,NA,NA,1.75,1.9,1.99,NA,1.41,2.82,4.23,0.06,0.09,0.12,NA,NA,NA,25.3,32,38.6,15.4,21.8,29.1,27,33,41,3,4.5,6,30,38,45,10,15,25,4,10,21,0.32,0.32,15,23,30,0,0,0,0,0,0,0,0,2,9,15,21,NA,NA,NA,12,18,21,7.4,7.8,8.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.4,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20682960,60807170
BCg,NA,BC,NA,NA,107,120,127,132,145,165,10,25,58,0,2,3,0,2,7,95,98,100,85,90,100,75,88,100,65,75,85,15,21,30,0,2,3,0,3,5,2,4,8,3,6,12,3,6,10,32,44,55,7,12,21,25,32,40,27,35,44,0,1,3,0,0.75,1.25,NA,NA,NA,1.5,1.65,1.75,NA,NA,NA,1.75,1.9,1.99,NA,1.41,2.82,4.23,0.06,0.09,0.15,NA,NA,NA,26.4,31.4,32.5,16.1,23.4,32.2,28,33,41,3,4.5,6,30,38,45,10,15,25,4,10,21,0.32,0.32,0,15,25,0,0,0,0,0,0,0,0,2,9,12,18,NA,NA,NA,9,15,18,6.6,7.4,7.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1.3,4.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20682960,60807171
Btg2,NA,B,NA,2,76,86,97,107,120,127,15,34,51,0,0,2,0,2,8,95,98,100,85,95,100,75,93,100,70,82,95,15,16,30,0,1,2,0,2,3,1,3,6,3,6,10,3,4,10,30,42,50,5,12,21,20,30,35,35,42,50,0,0,0,0.5,1,1.5,NA,NA,NA,1.5,1.6,1.7,NA,NA,NA,1.79,1.89,2.09,NA,1.41,2.82,4.23,0.09,0.12,0.18,NA,NA,NA,24.3,29.3,32.8,15.2,20.8,26,30,36,41,3,5.5,9,40,45,55,15,25,35,9,20,36,0.28,0.28,0,0,5,0,0,0,0,0,0,0,0,2,15,18,24,NA,NA,NA,12,15,21,6.1,7.2,7.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,2.6,6.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20682960,60807172
Btg1,NA,B,NA,1,25,28,43,76,86,97,35,58,72,0,0,2,0,2,5,95,98,100,85,95,100,75,93,100,70,82,95,10,16,25,0,1,2,0,2,3,1,3,6,3,6,10,3,4,10,35,42,50,5,12,21,25,30,40,35,42,50,0,0,0,1,1.5,2,NA,NA,NA,1.45,1.55,1.65,NA,NA,NA,1.73,1.83,2.03,NA,1.41,2.82,4.23,0.12,0.15,0.18,NA,NA,NA,26.6,31.2,34.9,18.4,24.3,30.2,32,38,43,3,5.5,9,40,45,55,15,25,30,9,20,32,0.28,0.28,0,0,0,0,0,0,0,0,0,0,0,2,18,24,32,NA,NA,NA,15,18,24,5.6,6.9,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3,4.2,8.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20682960,60807173
Ap,NA,A,NA,NA,0,0,0,25,28,43,25,28,43,0,0,2,0,0,4,95,98,100,90,95,100,75,90,100,70,85,95,10,15,20,0,1,3,0,1,3,2,3,8,3,5,12,3,5,10,40,50,55,8,15,24,30,35,45,27,35,40,0,0,0,3,4,6,NA,NA,NA,1.35,1.45,1.6,NA,NA,NA,1.56,1.66,1.74,NA,4.23,9.17,14.11,0.18,0.21,0.24,NA,NA,NA,30.2,34.6,38.2,18.1,24.4,30.5,35,42,47,3,4.5,6,35,40,50,10,20,25,6,17,27,0.24,0.24,0,0,0,0,0,0,0,0,0,0,0,2,24,30,36,NA,NA,NA,15,21,27,5.6,6.4,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.7,7.1,10.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20682960,60807174
Cd,NA,C,NA,NA,79,99,137,200,200,200,63,101,121,0,1,3,0,1,9,90,98,100,80,93,98,75,88,98,55,75,85,15,22,32,0,2,3,0,3,5,2,4,8,3,7,12,3,6,10,35,45,50,5,14,21,20,31,35,27,33,40,0,3,6,0,0.25,0.5,NA,NA,NA,1.8,1.9,2,NA,NA,NA,2.06,2.09,2.1,NA,0.07,0.74,1.41,0,0.03,0.06,NA,NA,NA,18.1,23.8,26.3,17.4,21.4,23.7,19,25,30,3,4.5,6,25,35,45,7,15,25,1,10,21,0.37,0.37,15,24,35,0,0,0,0,0,0,0,0,2,12,18,24,NA,NA,NA,12,18,21,7.4,8,8.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20682959,60807166
