cropname,yldunits,nonirryield.l,nonirryield.r,nonirryield.h,irryield.l,irryield.r,irryield.h,cropprodindex,vasoiprdgrp,cokey,cocropyldkey
Corn,Bu,155,160,165,NA,NA,NA,NA,NA,20682944,42030142
Soybeans,Bu,45,47,49,NA,NA,NA,NA,NA,20682944,42030143
Winter wheat,Bu,61,64,67,NA,NA,NA,NA,NA,20682944,42030144
Grass-legume pasture,AUM,10.4,10.6,10.8,NA,NA,NA,NA,NA,20682944,42030145
Grass-legume hay,Tons,5.1,5.3,5.5,NA,NA,NA,NA,NA,20682944,42030146
Soybeans,Bu,38,44,46,NA,NA,NA,NA,NA,20682945,42030147
Corn,Bu,130,135,140,NA,NA,NA,NA,NA,20682945,42030148
Winter wheat,Bu,58,61,64,NA,NA,NA,NA,NA,20682945,42030149
Grass-legume hay,Tons,4.3,4.5,4.7,NA,NA,NA,NA,NA,20682945,42030150
Grass-legume pasture,AUM,8.7,8.9,9.1,NA,NA,NA,NA,NA,20682945,42030151
Corn,Bu,125,130,135,NA,NA,NA,NA,NA,20682946,42030152
Soybeans,Bu,30,32,34,NA,NA,NA,NA,NA,20682946,42030153
Winter wheat,Bu,54,57,60,NA,NA,NA,NA,NA,20682946,42030154
Grass-legume hay,Tons,4,4.2,4.4,NA,NA,NA,NA,NA,20682946,42030155
Grass-legume pasture,AUM,8,8.2,8.4,NA,NA,NA,NA,NA,20682946,42030156
Winter wheat,Bu,60,63,66,NA,NA,NA,NA,NA,20682959,42030214
Soybeans,Bu,40,46,48,NA,NA,NA,NA,NA,20682959,42030215
Corn,Bu,135,140,145,NA,NA,NA,NA,NA,20682959,42030216
Grass-legume hay,Tons,4.4,4.6,4.8,NA,NA,NA,NA,NA,20682959,42030217
Grass-legume pasture,AUM,9,9.2,9.4,NA,NA,NA,NA,NA,20682959,42030218
Grass-legume hay,Tons,5.1,5.3,5.5,NA,NA,NA,NA,NA,20682960,42030219
Corn,Bu,155,160,165,NA,NA,NA,NA,NA,20682960,42030220
Soybeans,Bu,45,47,49,NA,NA,NA,NA,NA,20682960,42030221
Winter wheat,Bu,61,64,67,NA,NA,NA,NA,NA,20682960,42030222
Grass-legume pasture,AUM,10.4,10.6,10.8,NA,NA,NA,NA,NA,20682960,42030223
Corn,Bu,135,145,155,NA,NA,NA,NA,NA,20682961,42030224
Winter wheat,Bu,57,61,64,NA,NA,NA,NA,NA,20682961,42030225
Soybeans,Bu,41,45,49,NA,NA,NA,NA,NA,20682961,42030226
Grass-legume hay,Tons,3.6,3.8,4,NA,NA,NA,NA,NA,20682961,42030227
Grass-legume pasture,AUM,9.8,10.2,10.6,NA,NA,NA,NA,NA,20682961,42030228
