featkind,featdept.l,featdept.r,featdept.h,featdepb.l,featdepb.r,featdepb.h,featthick.l,featthick.r,featthick.h,cokey,codiagfeatkey
Argillic horizon,25,28,38,132,145,165,94,117,140,20682944,11124767
Mollic epipedon,0,0,0,25,28,38,25,28,38,20682944,11124768
Aquic conditions,0,0,0,200,200,200,200,200,200,20682944,11124769
Ochric epipedon,0,0,0,18,23,28,18,23,28,20682945,11124770
Argillic horizon,18,23,28,66,81,107,38,58,81,20682945,11124771
Aquic conditions,15,23,30,76,94,137,46,71,122,20682945,11124772
Argillic horizon,18,23,28,61,74,91,33,51,73,20682946,11124773
Ochric epipedon,0,0,0,18,23,28,18,23,28,20682946,11124774
Aquic conditions,30,46,61,64,86,102,18,40,72,20682946,11124775
Argillic horizon,20,25,28,66,76,91,41,51,71,20682959,11124814
Ochric epipedon,0,0,0,20,25,28,20,25,28,20682959,11124815
Aquic conditions,15,23,30,76,114,152,46,91,137,20682959,11124816
Mollic epipedon,0,0,0,25,28,43,25,28,43,20682960,11124817
Argillic horizon,25,28,43,132,145,152,94,117,127,20682960,11124818
Aquic conditions,0,15,30,200,200,200,170,185,200,20682960,11124819
Mollic epipedon,0,0,0,25,28,41,25,28,41,20682961,11124820
Aquic conditions,0,7,15,200,200,200,185,193,200,20682961,11124821
