soimoistdept.l,soimoistdept.r,soimoistdept.h,soimoistdepb.l,soimoistdepb.r,soimoistdepb.h,soimoiststat,comonthkey,cosoilmoistkey
0,0,0,0,0,30,Moist,216599789,136167056
0,0,30,200,200,200,Wet,216599789,136167057
0,0,0,0,0,30,Moist,216599790,136167058
0,0,30,200,200,200,Wet,216599790,136167059
0,0,0,0,0,30,Moist,216599791,136167060
0,0,30,200,200,200,Wet,216599791,136167061
0,0,0,0,0,30,Moist,216599792,136167062
0,0,30,200,200,200,Wet,216599792,136167063
0,0,0,0,0,30,Moist,216599793,136167064
0,0,30,200,200,200,Wet,216599793,136167065
0,0,0,200,200,200,Moist,216599794,136167066
0,0,0,200,200,200,Moist,216599795,136167067
0,0,0,200,200,200,Moist,216599796,136167068
0,0,0,200,200,200,Moist,216599797,136167069
0,0,0,200,200,200,Moist,216599798,136167070
0,0,30,200,200,200,Wet,216599799,136167071
0,0,0,0,0,30,Moist,216599799,136167072
0,0,0,0,0,30,Moist,216599800,136167073
0,0,30,200,200,200,Wet,216599800,136167074
0,0,0,15,23,30,Moist,216599801,136167075
15,23,30,76,94,137,Wet,216599801,136167076
76,94,137,200,200,200,Moist,216599801,136167077
0,0,0,15,23,30,Moist,216599802,136167078
15,23,30,76,94,137,Wet,216599802,136167079
76,94,137,200,200,200,Moist,216599802,136167080
0,0,0,15,23,30,Moist,216599803,136167081
15,23,30,76,94,137,Wet,216599803,136167082
76,94,137,200,200,200,Moist,216599803,136167083
0,0,0,15,23,30,Moist,216599804,136167084
76,94,137,200,200,200,Moist,216599804,136167085
15,23,30,76,94,137,Wet,216599804,136167086
0,0,0,15,23,30,Moist,216599805,136167087
15,23,30,76,94,137,Wet,216599805,136167088
76,94,137,200,200,200,Moist,216599805,136167089
0,0,0,15,23,30,Moist,216599811,136167090
76,94,137,200,200,200,Moist,216599811,136167091
15,23,30,76,94,137,Wet,216599811,136167092
0,0,0,15,23,30,Moist,216599812,136167093
15,23,30,76,94,137,Wet,216599812,136167094
76,94,137,200,200,200,Moist,216599812,136167095
76,91,107,200,200,200,Moist,216599813,136167096
0,0,0,30,46,61,Moist,216599813,136167097
30,46,61,76,91,107,Wet,216599813,136167098
0,0,0,30,46,61,Moist,216599814,136167099
30,46,61,76,91,107,Wet,216599814,136167100
76,91,107,200,200,200,Moist,216599814,136167101
76,91,107,200,200,200,Moist,216599815,136167102
0,0,0,30,46,61,Moist,216599815,136167103
30,46,61,76,91,107,Wet,216599815,136167104
0,0,0,30,46,61,Moist,216599816,136167105
30,46,61,76,91,107,Wet,216599816,136167106
76,91,107,200,200,200,Moist,216599816,136167107
