hillslopeprof,cogeomdkey,cosurfmorhppkey
Toeslope,31877677,13278039
Toeslope,31877678,13278040
Summit,31877680,13278041
Backslope,31877680,13278042
Summit,31877681,13278043
Backslope,31877681,13278044
Shoulder,31877683,13278045
Backslope,31877683,13278046
Shoulder,31877684,13278047
Backslope,31877684,13278048
Footslope,31877719,13278079
Footslope,31877720,13278080
Footslope,31877722,13278081
Toeslope,31877724,13278082
Toeslope,31877725,13278083
Toeslope,31877726,13278084
Toeslope,31877727,13278085
Toeslope,31877728,13278086
