cropname,yldunits,nonirryield.l,nonirryield.r,nonirryield.h,irryield.l,irryield.r,irryield.h,mukey,mucrpyldkey
Soybeans,Bu,41,44,47,NA,NA,NA,169674,15003859
Winter wheat,Bu,58,61,64,NA,NA,NA,169674,15003860
Corn,Bu,132,137,142,NA,NA,NA,169674,15003861
Grass-legume hay,Tons,4.3,4.6,4.9,NA,NA,NA,169674,15003862
Grass-legume pasture,AUM,8.5,9,9.5,NA,NA,NA,169674,15003863
Corn,Bu,152,157,162,NA,NA,NA,817831,15003883
Grass-legume hay,Tons,4.7,5,5.3,NA,NA,NA,817831,15003884
Grass-legume pasture,AUM,10,10.5,11,NA,NA,NA,817831,15003885
Soybeans,Bu,43,47,51,NA,NA,NA,817831,15003886
Winter wheat,Bu,60,64,68,NA,NA,NA,817831,15003887
